Date,Adj Close,Open,High,Low,Last,Close,Average Price,Volume,Turnover,No. of Trades
2016-05-02,1208.1,1210,1211.15,1196.15,1199.55,1201.05,1200.96,1807625,2170885251,50153
2016-05-03,1201.05,1202.75,1212.2,1171.8,1177.95,1177.8,1190.11,3412405,4061149572,132901
2016-05-04,1177.8,1181,1193,1170.65,1190,1188.85,1182.72,2906421,3437484344,106651
2016-05-05,1188.85,1195.15,1199,1181.1,1195.45,1192.45,1189.58,3151334,3748759043,137968
2016-05-06,1192.45,1189.8,1189.8,1177.05,1179,1181.5,1181.92,1298360,1534551847,54186
2016-05-09,1181.5,1182,1201.55,1180.6,1199.85,1199.05,1192.94,2561839,3056124205,81316
2016-05-10,1199.05,1202.5,1216.65,1196.6,1211.95,1212.8,1206.66,1697852,2048735526,75786
2016-05-11,1212.8,1198.5,1214.7,1192.5,1204,1201.85,1203.69,1854944,2232783131,64272
2016-05-12,1201.85,1203.9,1213,1196.8,1210.8,1210,1205.68,1703466,2053842245,77725
2016-05-13,1210,1206,1210,1192.15,1208,1207.25,1202.44,2826032,3398141904,81828
2016-05-16,1207.25,1210.2,1223.65,1205,1212.8,1215,1214.69,2266939,2753623614,77520
2016-05-17,1215,1220,1225.75,1208.15,1213.55,1214.25,1219.27,1898147,2314345531,75775
2016-05-18,1214.25,1199,1214,1197.9,1212,1209.85,1204.37,2128298,2563260480,60053
2016-05-19,1209.85,1210.95,1216.15,1201,1201.15,1205.75,1208.41,1977200,2389258586,63251
2016-05-20,1205.75,1205,1219.5,1200,1200.9,1201.6,1209.24,1997274,2415192560,72124
2016-05-23,1201.6,1203.4,1205.15,1185,1188.2,1188,1191.44,2292973,2731935850,65785
2016-05-24,1188,1191.05,1191.75,1177.6,1190,1187.75,1184.79,1742530,2064534720,85326
2016-05-25,1187.75,1194.1,1213.1,1194.1,1209.15,1208.65,1208.82,1928698,2331455440,66033
2016-05-26,1208.65,1210.1,1239.8,1210.1,1237.9,1234.15,1227.35,3068218,3765768592,96613
2016-05-27,1234.15,1231.6,1259.5,1231.6,1245,1247.5,1249.54,3090382,3861555368,79330
2016-05-30,1247.5,1241.5,1272,1241.5,1267,1267.6,1267.25,2642850,3349159368,92600
2016-05-31,1267.6,1265,1266.75,1239,1250.85,1248.65,1248.07,6891019,8600491439,125656
2016-06-01,1248.65,1246.05,1268.5,1246,1256,1258.2,1258.82,2420267,3046672700,72781
2016-06-02,1258.2,1255,1274.9,1254,1260.5,1261.55,1264.53,2526776,3195178703,105567
2016-06-03,1261.55,1260.05,1279.3,1260.05,1267,1266.9,1271.43,1999190,2541822477,70963
2016-06-06,1266.9,1264.9,1277,1261.1,1267.25,1266.75,1269.53,2112884,2682362141,77880
2016-06-07,1266.75,1267,1272.5,1255.1,1256,1257.4,1263.86,2846210,3597199329,74826
2016-06-08,1257.4,1263.95,1263.95,1235.35,1237,1238.1,1242.8,4370685,5431892699,113032
